# labeled dataset : 250
# unlabeled dataset : 49750
# train iteration : 1048576
# test iteration : 156
# create thread : 0
# create thread : 1
# create thread : 2
# create thread : 3
# create thread : 4
# create thread : 5
# create thread : 6
# create thread : 7
[i] step = 100, loss = 2.7684, labeled_loss = 1.4187, unlabeled_loss = 0.0085, l2_reg_loss = 1.3412, accuracy = 11.88, train_time = 188sec
[i] step = 7100, loss = 0.5116, labeled_loss = 0.0101, unlabeled_loss = 0.2286, l2_reg_loss = 0.2728, accuracy = 57.61, train_time = 131sec
[i] step = 7200, loss = 0.5096, labeled_loss = 0.0108, unlabeled_loss = 0.2306, l2_reg_loss = 0.2682, accuracy = 59.77, train_time = 135sec
[i] step = 7300, loss = 0.5006, labeled_loss = 0.0071, unlabeled_loss = 0.2297, l2_reg_loss = 0.2638, accuracy = 73.00, train_time = 132sec
[i] step = 7400, loss = 0.4948, labeled_loss = 0.0091, unlabeled_loss = 0.2263, l2_reg_loss = 0.2593, accuracy = 64.97, train_time = 134sec
[i] step = 7500, loss = 0.4908, labeled_loss = 0.0075, unlabeled_loss = 0.2284, l2_reg_loss = 0.2550, accuracy = 59.05, train_time = 132sec
[i] step = 7600, loss = 0.4844, labeled_loss = 0.0095, unlabeled_loss = 0.2239, l2_reg_loss = 0.2510, accuracy = 63.22, train_time = 136sec
[i] step = 7700, loss = 0.4778, labeled_loss = 0.0058, unlabeled_loss = 0.2254, l2_reg_loss = 0.2466, accuracy = 60.00, train_time = 131sec
[i] step = 7800, loss = 0.4745, labeled_loss = 0.0067, unlabeled_loss = 0.2255, l2_reg_loss = 0.2424, accuracy = 60.83, train_time = 133sec
[i] step = 7900, loss = 0.4644, labeled_loss = 0.0061, unlabeled_loss = 0.2198, l2_reg_loss = 0.2384, accuracy = 65.64, train_time = 132sec
[i] step = 8000, loss = 0.4669, labeled_loss = 0.0088, unlabeled_loss = 0.2235, l2_reg_loss = 0.2346, accuracy = 65.02, train_time = 136sec
[i] step = 8100, loss = 0.4729, labeled_loss = 0.0174, unlabeled_loss = 0.2237, l2_reg_loss = 0.2318, accuracy = 62.70, train_time = 135sec
[i] step = 8200, loss = 0.4634, labeled_loss = 0.0096, unlabeled_loss = 0.2241, l2_reg_loss = 0.2298, accuracy = 68.53, train_time = 132sec
[i] step = 8300, loss = 0.4522, labeled_loss = 0.0069, unlabeled_loss = 0.2190, l2_reg_loss = 0.2264, accuracy = 70.70, train_time = 131sec
[i] step = 8400, loss = 0.4460, labeled_loss = 0.0051, unlabeled_loss = 0.2181, l2_reg_loss = 0.2228, accuracy = 64.06, train_time = 133sec
[i] step = 8500, loss = 0.4464, labeled_loss = 0.0055, unlabeled_loss = 0.2216, l2_reg_loss = 0.2193, accuracy = 65.30, train_time = 129sec
[i] step = 8600, loss = 0.4450, labeled_loss = 0.0062, unlabeled_loss = 0.2228, l2_reg_loss = 0.2159, accuracy = 60.27, train_time = 133sec
[i] step = 8700, loss = 0.4465, labeled_loss = 0.0075, unlabeled_loss = 0.2262, l2_reg_loss = 0.2128, accuracy = 65.38, train_time = 134sec
[i] step = 8800, loss = 0.4378, labeled_loss = 0.0089, unlabeled_loss = 0.2189, l2_reg_loss = 0.2100, accuracy = 66.14, train_time = 130sec
[i] step = 8900, loss = 0.4485, labeled_loss = 0.0092, unlabeled_loss = 0.2316, l2_reg_loss = 0.2078, accuracy = 74.52, train_time = 134sec
[i] step = 9000, loss = 0.4382, labeled_loss = 0.0078, unlabeled_loss = 0.2253, l2_reg_loss = 0.2051, accuracy = 72.59, train_time = 133sec
[i] step = 9100, loss = 0.4434, labeled_loss = 0.0174, unlabeled_loss = 0.2230, l2_reg_loss = 0.2030, accuracy = 80.75, train_time = 132sec
[i] step = 9200, loss = 0.4268, labeled_loss = 0.0062, unlabeled_loss = 0.2190, l2_reg_loss = 0.2015, accuracy = 83.47, train_time = 129sec
[i] step = 9300, loss = 0.4238, labeled_loss = 0.0057, unlabeled_loss = 0.2193, l2_reg_loss = 0.1988, accuracy = 73.73, train_time = 134sec
[i] step = 9400, loss = 0.4296, labeled_loss = 0.0120, unlabeled_loss = 0.2211, l2_reg_loss = 0.1966, accuracy = 82.83, train_time = 132sec
[i] step = 9500, loss = 0.4220, labeled_loss = 0.0089, unlabeled_loss = 0.2183, l2_reg_loss = 0.1948, accuracy = 78.64, train_time = 133sec
[i] step = 9600, loss = 0.4136, labeled_loss = 0.0053, unlabeled_loss = 0.2159, l2_reg_loss = 0.1924, accuracy = 80.64, train_time = 133sec
[i] step = 9700, loss = 0.4198, labeled_loss = 0.0090, unlabeled_loss = 0.2206, l2_reg_loss = 0.1901, accuracy = 81.84, train_time = 134sec
[i] step = 9800, loss = 0.4130, labeled_loss = 0.0063, unlabeled_loss = 0.2187, l2_reg_loss = 0.1881, accuracy = 85.36, train_time = 133sec
[i] step = 9900, loss = 0.4153, labeled_loss = 0.0074, unlabeled_loss = 0.2220, l2_reg_loss = 0.1860, accuracy = 84.50, train_time = 130sec
[i] step = 10000, loss = 0.4080, labeled_loss = 0.0078, unlabeled_loss = 0.2160, l2_reg_loss = 0.1842, accuracy = 78.39, train_time = 143sec
[i] step = 10000, test_accuracy = 45.27, best_test_accuracy = 45.27, test_time = 13sec
[i] step = 10100, loss = 0.3985, labeled_loss = 0.0059, unlabeled_loss = 0.2104, l2_reg_loss = 0.1822, accuracy = 82.80, train_time = 171sec
[i] step = 10200, loss = 0.4043, labeled_loss = 0.0099, unlabeled_loss = 0.2139, l2_reg_loss = 0.1805, accuracy = 82.94, train_time = 172sec
[i] step = 10300, loss = 0.4074, labeled_loss = 0.0073, unlabeled_loss = 0.2212, l2_reg_loss = 0.1788, accuracy = 79.95, train_time = 172sec
[i] step = 10400, loss = 0.3955, labeled_loss = 0.0062, unlabeled_loss = 0.2122, l2_reg_loss = 0.1771, accuracy = 83.80, train_time = 167sec
[i] step = 10500, loss = 0.3958, labeled_loss = 0.0053, unlabeled_loss = 0.2153, l2_reg_loss = 0.1752, accuracy = 74.84, train_time = 181sec
[i] step = 10600, loss = 0.3933, labeled_loss = 0.0072, unlabeled_loss = 0.2125, l2_reg_loss = 0.1736, accuracy = 85.78, train_time = 171sec
[i] step = 10700, loss = 0.3982, labeled_loss = 0.0079, unlabeled_loss = 0.2181, l2_reg_loss = 0.1721, accuracy = 83.84, train_time = 172sec
[i] step = 10800, loss = 0.3856, labeled_loss = 0.0063, unlabeled_loss = 0.2088, l2_reg_loss = 0.1705, accuracy = 83.83, train_time = 168sec
[i] step = 10900, loss = 0.3817, labeled_loss = 0.0038, unlabeled_loss = 0.2093, l2_reg_loss = 0.1685, accuracy = 85.25, train_time = 176sec
[i] step = 11000, loss = 0.3839, labeled_loss = 0.0065, unlabeled_loss = 0.2106, l2_reg_loss = 0.1668, accuracy = 89.53, train_time = 167sec
[i] step = 11100, loss = 0.3885, labeled_loss = 0.0095, unlabeled_loss = 0.2135, l2_reg_loss = 0.1655, accuracy = 89.77, train_time = 173sec
[i] step = 11200, loss = 0.3832, labeled_loss = 0.0076, unlabeled_loss = 0.2111, l2_reg_loss = 0.1645, accuracy = 92.81, train_time = 169sec
[i] step = 11300, loss = 0.3763, labeled_loss = 0.0051, unlabeled_loss = 0.2080, l2_reg_loss = 0.1632, accuracy = 83.23, train_time = 171sec
[i] step = 11400, loss = 0.3829, labeled_loss = 0.0062, unlabeled_loss = 0.2149, l2_reg_loss = 0.1618, accuracy = 87.19, train_time = 172sec
[i] step = 11500, loss = 0.3812, labeled_loss = 0.0085, unlabeled_loss = 0.2119, l2_reg_loss = 0.1609, accuracy = 88.42, train_time = 170sec
[i] step = 11600, loss = 0.3788, labeled_loss = 0.0060, unlabeled_loss = 0.2129, l2_reg_loss = 0.1598, accuracy = 87.91, train_time = 173sec
[i] step = 11700, loss = 0.3814, labeled_loss = 0.0105, unlabeled_loss = 0.2121, l2_reg_loss = 0.1588, accuracy = 95.23, train_time = 168sec
[i] step = 11800, loss = 0.3805, labeled_loss = 0.0092, unlabeled_loss = 0.2126, l2_reg_loss = 0.1587, accuracy = 98.98, train_time = 169sec
[i] step = 11900, loss = 0.3764, labeled_loss = 0.0070, unlabeled_loss = 0.2116, l2_reg_loss = 0.1578, accuracy = 99.34, train_time = 176sec
[i] step = 12000, loss = 0.3680, labeled_loss = 0.0071, unlabeled_loss = 0.2039, l2_reg_loss = 0.1570, accuracy = 98.88, train_time = 164sec
[i] step = 12100, loss = 0.3634, labeled_loss = 0.0062, unlabeled_loss = 0.2014, l2_reg_loss = 0.1559, accuracy = 99.45, train_time = 172sec
[i] step = 12200, loss = 0.3705, labeled_loss = 0.0054, unlabeled_loss = 0.2103, l2_reg_loss = 0.1548, accuracy = 99.69, train_time = 169sec
[i] step = 12300, loss = 0.3664, labeled_loss = 0.0073, unlabeled_loss = 0.2053, l2_reg_loss = 0.1539, accuracy = 98.53, train_time = 172sec
[i] step = 12400, loss = 0.3686, labeled_loss = 0.0064, unlabeled_loss = 0.2090, l2_reg_loss = 0.1532, accuracy = 98.98, train_time = 173sec
[i] step = 12500, loss = 0.3608, labeled_loss = 0.0052, unlabeled_loss = 0.2035, l2_reg_loss = 0.1521, accuracy = 99.77, train_time = 166sec
[i] step = 12600, loss = 0.3704, labeled_loss = 0.0081, unlabeled_loss = 0.2110, l2_reg_loss = 0.1513, accuracy = 99.89, train_time = 172sec
[i] step = 12700, loss = 0.3656, labeled_loss = 0.0074, unlabeled_loss = 0.2072, l2_reg_loss = 0.1510, accuracy = 99.97, train_time = 167sec
[i] step = 12800, loss = 0.3698, labeled_loss = 0.0095, unlabeled_loss = 0.2097, l2_reg_loss = 0.1505, accuracy = 99.94, train_time = 172sec
[i] step = 12900, loss = 0.3686, labeled_loss = 0.0071, unlabeled_loss = 0.2116, l2_reg_loss = 0.1499, accuracy = 99.94, train_time = 167sec
[i] step = 13000, loss = 0.3637, labeled_loss = 0.0063, unlabeled_loss = 0.2083, l2_reg_loss = 0.1492, accuracy = 100.00, train_time = 170sec
[i] step = 13100, loss = 0.3668, labeled_loss = 0.0065, unlabeled_loss = 0.2119, l2_reg_loss = 0.1484, accuracy = 99.97, train_time = 170sec
[i] step = 13200, loss = 0.3558, labeled_loss = 0.0058, unlabeled_loss = 0.2024, l2_reg_loss = 0.1477, accuracy = 99.94, train_time = 168sec
[i] step = 13300, loss = 0.3571, labeled_loss = 0.0048, unlabeled_loss = 0.2055, l2_reg_loss = 0.1468, accuracy = 98.67, train_time = 171sec
[i] step = 13400, loss = 0.3514, labeled_loss = 0.0052, unlabeled_loss = 0.2004, l2_reg_loss = 0.1458, accuracy = 98.28, train_time = 165sec
[i] step = 13500, loss = 0.3608, labeled_loss = 0.0084, unlabeled_loss = 0.2072, l2_reg_loss = 0.1451, accuracy = 98.25, train_time = 160sec
