# labeled dataset : 4000
# unlabeled dataset : 46000
# train iteration : 1048576
# test iteration : 156
# create thread : 0
# create thread : 1
# create thread : 2
# create thread : 3
# create thread : 4
# create thread : 5
# create thread : 6
# create thread : 7
[i] step = 100, loss = 3.1526, labeled_loss = 1.8128, unlabeled_loss = 0.0002, l2_reg_loss = 1.3396, accuracy = 9.75, train_time = 202sec
[i] step = 1500, loss = 1.7350, labeled_loss = 0.6232, unlabeled_loss = 0.1410, l2_reg_loss = 0.9709, accuracy = 39.00, train_time = 106sec
[i] step = 1600, loss = 1.7042, labeled_loss = 0.6083, unlabeled_loss = 0.1437, l2_reg_loss = 0.9523, accuracy = 43.69, train_time = 110sec
[i] step = 1700, loss = 1.6485, labeled_loss = 0.5624, unlabeled_loss = 0.1517, l2_reg_loss = 0.9344, accuracy = 51.95, train_time = 114sec
[i] step = 1800, loss = 1.5936, labeled_loss = 0.5090, unlabeled_loss = 0.1676, l2_reg_loss = 0.9170, accuracy = 54.14, train_time = 113sec
[i] step = 1900, loss = 1.5704, labeled_loss = 0.5000, unlabeled_loss = 0.1702, l2_reg_loss = 0.9002, accuracy = 52.50, train_time = 115sec
[i] step = 2000, loss = 1.5465, labeled_loss = 0.4840, unlabeled_loss = 0.1784, l2_reg_loss = 0.8841, accuracy = 51.38, train_time = 112sec
[i] step = 2100, loss = 1.5013, labeled_loss = 0.4564, unlabeled_loss = 0.1763, l2_reg_loss = 0.8686, accuracy = 51.05, train_time = 117sec
[i] step = 2200, loss = 1.4420, labeled_loss = 0.3978, unlabeled_loss = 0.1907, l2_reg_loss = 0.8535, accuracy = 52.11, train_time = 110sec
[i] step = 2300, loss = 1.4340, labeled_loss = 0.4012, unlabeled_loss = 0.1940, l2_reg_loss = 0.8388, accuracy = 47.55, train_time = 112sec
[i] step = 2400, loss = 1.3941, labeled_loss = 0.3672, unlabeled_loss = 0.2022, l2_reg_loss = 0.8247, accuracy = 47.41, train_time = 113sec
[i] step = 2500, loss = 1.3685, labeled_loss = 0.3489, unlabeled_loss = 0.2089, l2_reg_loss = 0.8107, accuracy = 48.84, train_time = 111sec
[i] step = 2600, loss = 1.3292, labeled_loss = 0.3204, unlabeled_loss = 0.2115, l2_reg_loss = 0.7974, accuracy = 47.31, train_time = 114sec
[i] step = 2700, loss = 1.3087, labeled_loss = 0.3141, unlabeled_loss = 0.2103, l2_reg_loss = 0.7842, accuracy = 43.64, train_time = 115sec
[i] step = 2800, loss = 1.2791, labeled_loss = 0.2959, unlabeled_loss = 0.2116, l2_reg_loss = 0.7716, accuracy = 48.94, train_time = 120sec
[i] step = 2900, loss = 1.2613, labeled_loss = 0.2794, unlabeled_loss = 0.2223, l2_reg_loss = 0.7596, accuracy = 51.69, train_time = 114sec
[i] step = 3000, loss = 1.2488, labeled_loss = 0.2784, unlabeled_loss = 0.2229, l2_reg_loss = 0.7474, accuracy = 46.72, train_time = 116sec
[i] step = 3100, loss = 1.2015, labeled_loss = 0.2479, unlabeled_loss = 0.2179, l2_reg_loss = 0.7358, accuracy = 47.66, train_time = 118sec
[i] step = 3200, loss = 1.1811, labeled_loss = 0.2243, unlabeled_loss = 0.2328, l2_reg_loss = 0.7239, accuracy = 44.88, train_time = 113sec
[i] step = 3300, loss = 1.1418, labeled_loss = 0.2041, unlabeled_loss = 0.2257, l2_reg_loss = 0.7121, accuracy = 46.03, train_time = 119sec
[i] step = 3400, loss = 1.1651, labeled_loss = 0.2322, unlabeled_loss = 0.2322, l2_reg_loss = 0.7007, accuracy = 52.17, train_time = 119sec
[i] step = 3500, loss = 1.1367, labeled_loss = 0.2201, unlabeled_loss = 0.2260, l2_reg_loss = 0.6906, accuracy = 50.64, train_time = 115sec
[i] step = 3600, loss = 1.1075, labeled_loss = 0.1975, unlabeled_loss = 0.2299, l2_reg_loss = 0.6802, accuracy = 51.78, train_time = 122sec
[i] step = 3700, loss = 1.0971, labeled_loss = 0.1943, unlabeled_loss = 0.2327, l2_reg_loss = 0.6702, accuracy = 53.27, train_time = 119sec
[i] step = 3800, loss = 1.0674, labeled_loss = 0.1671, unlabeled_loss = 0.2407, l2_reg_loss = 0.6596, accuracy = 52.70, train_time = 116sec
[i] step = 3900, loss = 1.0637, labeled_loss = 0.1790, unlabeled_loss = 0.2351, l2_reg_loss = 0.6496, accuracy = 47.52, train_time = 120sec
[i] step = 4000, loss = 1.0469, labeled_loss = 0.1684, unlabeled_loss = 0.2386, l2_reg_loss = 0.6399, accuracy = 49.84, train_time = 118sec
[i] step = 4100, loss = 1.0256, labeled_loss = 0.1609, unlabeled_loss = 0.2340, l2_reg_loss = 0.6307, accuracy = 52.86, train_time = 117sec
[i] step = 4200, loss = 1.0139, labeled_loss = 0.1588, unlabeled_loss = 0.2337, l2_reg_loss = 0.6214, accuracy = 58.58, train_time = 117sec
[i] step = 4300, loss = 0.9988, labeled_loss = 0.1509, unlabeled_loss = 0.2356, l2_reg_loss = 0.6123, accuracy = 57.66, train_time = 118sec
[i] step = 4400, loss = 0.9798, labeled_loss = 0.1424, unlabeled_loss = 0.2342, l2_reg_loss = 0.6032, accuracy = 57.86, train_time = 116sec
[i] step = 4500, loss = 0.9611, labeled_loss = 0.1337, unlabeled_loss = 0.2329, l2_reg_loss = 0.5945, accuracy = 56.66, train_time = 114sec
[i] step = 4600, loss = 0.9702, labeled_loss = 0.1406, unlabeled_loss = 0.2433, l2_reg_loss = 0.5863, accuracy = 56.80, train_time = 121sec
[i] step = 4700, loss = 0.9584, labeled_loss = 0.1481, unlabeled_loss = 0.2315, l2_reg_loss = 0.5789, accuracy = 60.27, train_time = 119sec
[i] step = 4800, loss = 0.9217, labeled_loss = 0.1196, unlabeled_loss = 0.2311, l2_reg_loss = 0.5709, accuracy = 63.06, train_time = 122sec
[i] step = 4900, loss = 0.9448, labeled_loss = 0.1392, unlabeled_loss = 0.2426, l2_reg_loss = 0.5630, accuracy = 65.12, train_time = 120sec
[i] step = 5000, loss = 0.9072, labeled_loss = 0.1157, unlabeled_loss = 0.2361, l2_reg_loss = 0.5553, accuracy = 63.77, train_time = 120sec
[i] step = 5100, loss = 0.8982, labeled_loss = 0.1094, unlabeled_loss = 0.2412, l2_reg_loss = 0.5477, accuracy = 63.02, train_time = 115sec
[i] step = 5200, loss = 0.9071, labeled_loss = 0.1305, unlabeled_loss = 0.2362, l2_reg_loss = 0.5405, accuracy = 65.20, train_time = 120sec
[i] step = 5300, loss = 0.8785, labeled_loss = 0.1051, unlabeled_loss = 0.2397, l2_reg_loss = 0.5338, accuracy = 64.59, train_time = 120sec
[i] step = 5400, loss = 0.8605, labeled_loss = 0.0915, unlabeled_loss = 0.2431, l2_reg_loss = 0.5259, accuracy = 65.48, train_time = 115sec
[i] step = 5500, loss = 0.8536, labeled_loss = 0.0969, unlabeled_loss = 0.2381, l2_reg_loss = 0.5186, accuracy = 67.77, train_time = 120sec
[i] step = 5600, loss = 0.8676, labeled_loss = 0.1112, unlabeled_loss = 0.2443, l2_reg_loss = 0.5121, accuracy = 69.47, train_time = 118sec
[i] step = 5700, loss = 0.8473, labeled_loss = 0.0959, unlabeled_loss = 0.2452, l2_reg_loss = 0.5062, accuracy = 66.06, train_time = 119sec
[i] step = 5800, loss = 0.8337, labeled_loss = 0.0957, unlabeled_loss = 0.2384, l2_reg_loss = 0.4997, accuracy = 73.95, train_time = 119sec
[i] step = 5900, loss = 0.8372, labeled_loss = 0.0981, unlabeled_loss = 0.2454, l2_reg_loss = 0.4938, accuracy = 65.84, train_time = 117sec
[i] step = 6000, loss = 0.8278, labeled_loss = 0.0892, unlabeled_loss = 0.2509, l2_reg_loss = 0.4878, accuracy = 69.02, train_time = 116sec
[i] step = 6100, loss = 0.8326, labeled_loss = 0.1106, unlabeled_loss = 0.2396, l2_reg_loss = 0.4824, accuracy = 71.98, train_time = 116sec
[i] step = 6200, loss = 0.8113, labeled_loss = 0.0916, unlabeled_loss = 0.2421, l2_reg_loss = 0.4775, accuracy = 77.03, train_time = 119sec
[i] step = 6300, loss = 0.8099, labeled_loss = 0.0916, unlabeled_loss = 0.2462, l2_reg_loss = 0.4721, accuracy = 78.44, train_time = 114sec
[i] step = 6400, loss = 0.8056, labeled_loss = 0.0905, unlabeled_loss = 0.2478, l2_reg_loss = 0.4673, accuracy = 80.00, train_time = 115sec
[i] step = 6500, loss = 0.8064, labeled_loss = 0.0972, unlabeled_loss = 0.2466, l2_reg_loss = 0.4626, accuracy = 76.25, train_time = 120sec
[i] step = 6600, loss = 0.8168, labeled_loss = 0.1043, unlabeled_loss = 0.2540, l2_reg_loss = 0.4585, accuracy = 77.16, train_time = 117sec
[i] step = 6700, loss = 0.7752, labeled_loss = 0.0788, unlabeled_loss = 0.2425, l2_reg_loss = 0.4539, accuracy = 81.17, train_time = 117sec
[i] step = 6800, loss = 0.7947, labeled_loss = 0.0916, unlabeled_loss = 0.2543, l2_reg_loss = 0.4488, accuracy = 73.89, train_time = 116sec
[i] step = 6900, loss = 0.7773, labeled_loss = 0.0844, unlabeled_loss = 0.2485, l2_reg_loss = 0.4443, accuracy = 65.30, train_time = 119sec
[i] step = 7000, loss = 0.8114, labeled_loss = 0.1193, unlabeled_loss = 0.2504, l2_reg_loss = 0.4417, accuracy = 76.64, train_time = 118sec
[i] step = 7100, loss = 0.7865, labeled_loss = 0.1036, unlabeled_loss = 0.2434, l2_reg_loss = 0.4395, accuracy = 81.19, train_time = 118sec
[i] step = 7200, loss = 0.7669, labeled_loss = 0.0793, unlabeled_loss = 0.2514, l2_reg_loss = 0.4361, accuracy = 79.69, train_time = 114sec
[i] step = 7300, loss = 0.7688, labeled_loss = 0.0887, unlabeled_loss = 0.2480, l2_reg_loss = 0.4322, accuracy = 79.55, train_time = 121sec
[i] step = 7400, loss = 0.7720, labeled_loss = 0.0858, unlabeled_loss = 0.2573, l2_reg_loss = 0.4289, accuracy = 87.34, train_time = 120sec
[i] step = 7500, loss = 0.7613, labeled_loss = 0.0866, unlabeled_loss = 0.2490, l2_reg_loss = 0.4257, accuracy = 88.45, train_time = 122sec
[i] step = 7600, loss = 0.7661, labeled_loss = 0.0984, unlabeled_loss = 0.2446, l2_reg_loss = 0.4232, accuracy = 78.64, train_time = 119sec
[i] step = 7700, loss = 0.7513, labeled_loss = 0.0811, unlabeled_loss = 0.2502, l2_reg_loss = 0.4200, accuracy = 82.91, train_time = 121sec
[i] step = 7800, loss = 0.7344, labeled_loss = 0.0719, unlabeled_loss = 0.2460, l2_reg_loss = 0.4165, accuracy = 79.95, train_time = 122sec
[i] step = 7900, loss = 0.7432, labeled_loss = 0.0790, unlabeled_loss = 0.2514, l2_reg_loss = 0.4128, accuracy = 86.56, train_time = 119sec
[i] step = 8000, loss = 0.7452, labeled_loss = 0.0798, unlabeled_loss = 0.2554, l2_reg_loss = 0.4100, accuracy = 88.95, train_time = 121sec
[i] step = 8100, loss = 0.7455, labeled_loss = 0.0857, unlabeled_loss = 0.2526, l2_reg_loss = 0.4072, accuracy = 89.36, train_time = 116sec
[i] step = 8200, loss = 0.7277, labeled_loss = 0.0728, unlabeled_loss = 0.2502, l2_reg_loss = 0.4047, accuracy = 88.09, train_time = 120sec
[i] step = 8300, loss = 0.7402, labeled_loss = 0.0770, unlabeled_loss = 0.2615, l2_reg_loss = 0.4017, accuracy = 87.72, train_time = 116sec
[i] step = 8400, loss = 0.7351, labeled_loss = 0.0826, unlabeled_loss = 0.2534, l2_reg_loss = 0.3991, accuracy = 82.67, train_time = 122sec
[i] step = 8500, loss = 0.7429, labeled_loss = 0.0929, unlabeled_loss = 0.2525, l2_reg_loss = 0.3975, accuracy = 89.84, train_time = 120sec
[i] step = 8600, loss = 0.7419, labeled_loss = 0.0932, unlabeled_loss = 0.2526, l2_reg_loss = 0.3961, accuracy = 92.97, train_time = 120sec
[i] step = 8700, loss = 0.7153, labeled_loss = 0.0699, unlabeled_loss = 0.2516, l2_reg_loss = 0.3939, accuracy = 85.53, train_time = 118sec
[i] step = 8800, loss = 0.7339, labeled_loss = 0.0950, unlabeled_loss = 0.2474, l2_reg_loss = 0.3915, accuracy = 92.67, train_time = 120sec
[i] step = 8900, loss = 0.7389, labeled_loss = 0.1004, unlabeled_loss = 0.2472, l2_reg_loss = 0.3913, accuracy = 95.88, train_time = 120sec
[i] step = 9000, loss = 0.6867, labeled_loss = 0.0557, unlabeled_loss = 0.2419, l2_reg_loss = 0.3891, accuracy = 96.72, train_time = 122sec
[i] step = 9100, loss = 0.7113, labeled_loss = 0.0790, unlabeled_loss = 0.2468, l2_reg_loss = 0.3855, accuracy = 91.06, train_time = 123sec
[i] step = 9200, loss = 0.7016, labeled_loss = 0.0726, unlabeled_loss = 0.2452, l2_reg_loss = 0.3838, accuracy = 90.31, train_time = 121sec
[i] step = 9300, loss = 0.7076, labeled_loss = 0.0752, unlabeled_loss = 0.2511, l2_reg_loss = 0.3813, accuracy = 88.30, train_time = 120sec
[i] step = 9400, loss = 0.7155, labeled_loss = 0.0813, unlabeled_loss = 0.2544, l2_reg_loss = 0.3798, accuracy = 91.02, train_time = 119sec
[i] step = 9500, loss = 0.7031, labeled_loss = 0.0810, unlabeled_loss = 0.2437, l2_reg_loss = 0.3783, accuracy = 96.02, train_time = 122sec
[i] step = 9600, loss = 0.6859, labeled_loss = 0.0632, unlabeled_loss = 0.2465, l2_reg_loss = 0.3762, accuracy = 97.19, train_time = 123sec
[i] step = 9700, loss = 0.6874, labeled_loss = 0.0647, unlabeled_loss = 0.2498, l2_reg_loss = 0.3729, accuracy = 89.72, train_time = 120sec
[i] step = 9800, loss = 0.6708, labeled_loss = 0.0543, unlabeled_loss = 0.2461, l2_reg_loss = 0.3704, accuracy = 92.23, train_time = 118sec
[i] step = 9900, loss = 0.7080, labeled_loss = 0.0875, unlabeled_loss = 0.2522, l2_reg_loss = 0.3682, accuracy = 93.88, train_time = 120sec
[i] step = 10000, loss = 0.7171, labeled_loss = 0.1008, unlabeled_loss = 0.2474, l2_reg_loss = 0.3689, accuracy = 95.59, train_time = 119sec
[i] step = 10000, test_accuracy = 81.68, best_test_accuracy = 81.68, test_time = 15sec
[i] step = 10100, loss = 0.6785, labeled_loss = 0.0694, unlabeled_loss = 0.2414, l2_reg_loss = 0.3678, accuracy = 97.59, train_time = 134sec
[i] step = 10200, loss = 0.6792, labeled_loss = 0.0657, unlabeled_loss = 0.2479, l2_reg_loss = 0.3656, accuracy = 98.55, train_time = 133sec
[i] step = 10300, loss = 0.6675, labeled_loss = 0.0608, unlabeled_loss = 0.2436, l2_reg_loss = 0.3631, accuracy = 96.23, train_time = 131sec
[i] step = 10400, loss = 0.6641, labeled_loss = 0.0586, unlabeled_loss = 0.2449, l2_reg_loss = 0.3606, accuracy = 96.62, train_time = 128sec
[i] step = 10500, loss = 0.6716, labeled_loss = 0.0729, unlabeled_loss = 0.2399, l2_reg_loss = 0.3589, accuracy = 96.55, train_time = 131sec
[i] step = 10600, loss = 0.6538, labeled_loss = 0.0533, unlabeled_loss = 0.2440, l2_reg_loss = 0.3566, accuracy = 98.42, train_time = 127sec
[i] step = 10700, loss = 0.6601, labeled_loss = 0.0563, unlabeled_loss = 0.2500, l2_reg_loss = 0.3539, accuracy = 98.08, train_time = 128sec
[i] step = 10800, loss = 0.6476, labeled_loss = 0.0540, unlabeled_loss = 0.2418, l2_reg_loss = 0.3517, accuracy = 97.77, train_time = 131sec
[i] step = 10900, loss = 0.6783, labeled_loss = 0.0765, unlabeled_loss = 0.2513, l2_reg_loss = 0.3505, accuracy = 97.28, train_time = 128sec
[i] step = 11000, loss = 0.6681, labeled_loss = 0.0711, unlabeled_loss = 0.2477, l2_reg_loss = 0.3493, accuracy = 97.41, train_time = 132sec
[i] step = 11100, loss = 0.6416, labeled_loss = 0.0573, unlabeled_loss = 0.2360, l2_reg_loss = 0.3483, accuracy = 97.70, train_time = 127sec
[i] step = 11200, loss = 0.6341, labeled_loss = 0.0435, unlabeled_loss = 0.2451, l2_reg_loss = 0.3455, accuracy = 94.98, train_time = 132sec
[i] step = 11300, loss = 0.6781, labeled_loss = 0.0873, unlabeled_loss = 0.2470, l2_reg_loss = 0.3438, accuracy = 96.34, train_time = 126sec
[i] step = 11400, loss = 0.6626, labeled_loss = 0.0738, unlabeled_loss = 0.2432, l2_reg_loss = 0.3455, accuracy = 96.84, train_time = 134sec
[i] step = 11500, loss = 0.6840, labeled_loss = 0.0940, unlabeled_loss = 0.2445, l2_reg_loss = 0.3455, accuracy = 98.02, train_time = 122sec
[i] step = 11600, loss = 0.6605, labeled_loss = 0.0718, unlabeled_loss = 0.2422, l2_reg_loss = 0.3464, accuracy = 98.62, train_time = 138sec
[i] step = 11700, loss = 0.6423, labeled_loss = 0.0546, unlabeled_loss = 0.2423, l2_reg_loss = 0.3454, accuracy = 98.36, train_time = 140sec
[i] step = 11800, loss = 0.6442, labeled_loss = 0.0636, unlabeled_loss = 0.2374, l2_reg_loss = 0.3431, accuracy = 98.61, train_time = 137sec
[i] step = 11900, loss = 0.6458, labeled_loss = 0.0578, unlabeled_loss = 0.2455, l2_reg_loss = 0.3425, accuracy = 96.89, train_time = 144sec
[i] step = 12000, loss = 0.6334, labeled_loss = 0.0530, unlabeled_loss = 0.2399, l2_reg_loss = 0.3405, accuracy = 96.14, train_time = 148sec
[i] step = 12100, loss = 0.6244, labeled_loss = 0.0428, unlabeled_loss = 0.2433, l2_reg_loss = 0.3383, accuracy = 96.78, train_time = 143sec
[i] step = 12200, loss = 0.6161, labeled_loss = 0.0384, unlabeled_loss = 0.2429, l2_reg_loss = 0.3348, accuracy = 94.81, train_time = 149sec
[i] step = 12300, loss = 0.6627, labeled_loss = 0.0805, unlabeled_loss = 0.2486, l2_reg_loss = 0.3335, accuracy = 91.83, train_time = 148sec
[i] step = 12400, loss = 0.6495, labeled_loss = 0.0845, unlabeled_loss = 0.2297, l2_reg_loss = 0.3353, accuracy = 94.66, train_time = 143sec
[i] step = 12500, loss = 0.6414, labeled_loss = 0.0737, unlabeled_loss = 0.2321, l2_reg_loss = 0.3357, accuracy = 97.58, train_time = 139sec
[i] step = 12600, loss = 0.6284, labeled_loss = 0.0636, unlabeled_loss = 0.2294, l2_reg_loss = 0.3354, accuracy = 98.61, train_time = 148sec
[i] step = 12700, loss = 0.6267, labeled_loss = 0.0541, unlabeled_loss = 0.2392, l2_reg_loss = 0.3335, accuracy = 99.08, train_time = 141sec
[i] step = 12800, loss = 0.6368, labeled_loss = 0.0641, unlabeled_loss = 0.2394, l2_reg_loss = 0.3333, accuracy = 97.28, train_time = 147sec
[i] step = 12900, loss = 0.6166, labeled_loss = 0.0479, unlabeled_loss = 0.2368, l2_reg_loss = 0.3319, accuracy = 97.23, train_time = 144sec
[i] step = 13000, loss = 0.6326, labeled_loss = 0.0657, unlabeled_loss = 0.2364, l2_reg_loss = 0.3305, accuracy = 97.95, train_time = 143sec
[i] step = 13100, loss = 0.6336, labeled_loss = 0.0592, unlabeled_loss = 0.2441, l2_reg_loss = 0.3303, accuracy = 99.02, train_time = 147sec
[i] step = 13200, loss = 0.6077, labeled_loss = 0.0435, unlabeled_loss = 0.2356, l2_reg_loss = 0.3286, accuracy = 97.88, train_time = 139sec
[i] step = 13300, loss = 0.6051, labeled_loss = 0.0425, unlabeled_loss = 0.2363, l2_reg_loss = 0.3263, accuracy = 99.27, train_time = 147sec
[i] step = 13400, loss = 0.6404, labeled_loss = 0.0714, unlabeled_loss = 0.2439, l2_reg_loss = 0.3252, accuracy = 98.92, train_time = 142sec
[i] step = 13500, loss = 0.6220, labeled_loss = 0.0607, unlabeled_loss = 0.2353, l2_reg_loss = 0.3260, accuracy = 94.31, train_time = 140sec
[i] step = 13600, loss = 0.5960, labeled_loss = 0.0332, unlabeled_loss = 0.2387, l2_reg_loss = 0.3240, accuracy = 98.55, train_time = 147sec
[i] step = 13700, loss = 0.6290, labeled_loss = 0.0668, unlabeled_loss = 0.2407, l2_reg_loss = 0.3215, accuracy = 98.42, train_time = 135sec
[i] step = 13800, loss = 0.6221, labeled_loss = 0.0658, unlabeled_loss = 0.2345, l2_reg_loss = 0.3218, accuracy = 98.92, train_time = 148sec
[i] step = 13900, loss = 0.6168, labeled_loss = 0.0597, unlabeled_loss = 0.2345, l2_reg_loss = 0.3226, accuracy = 99.14, train_time = 141sec
[i] step = 14000, loss = 0.6103, labeled_loss = 0.0602, unlabeled_loss = 0.2286, l2_reg_loss = 0.3215, accuracy = 98.14, train_time = 141sec
[i] step = 14100, loss = 0.6313, labeled_loss = 0.0714, unlabeled_loss = 0.2382, l2_reg_loss = 0.3216, accuracy = 98.38, train_time = 141sec
[i] step = 14200, loss = 0.6059, labeled_loss = 0.0498, unlabeled_loss = 0.2347, l2_reg_loss = 0.3214, accuracy = 99.44, train_time = 151sec
[i] step = 14300, loss = 0.6143, labeled_loss = 0.0594, unlabeled_loss = 0.2349, l2_reg_loss = 0.3201, accuracy = 98.83, train_time = 146sec
[i] step = 14400, loss = 0.6279, labeled_loss = 0.0746, unlabeled_loss = 0.2329, l2_reg_loss = 0.3204, accuracy = 98.03, train_time = 144sec
[i] step = 14500, loss = 0.6125, labeled_loss = 0.0597, unlabeled_loss = 0.2316, l2_reg_loss = 0.3212, accuracy = 97.67, train_time = 149sec
[i] step = 14600, loss = 0.6215, labeled_loss = 0.0728, unlabeled_loss = 0.2275, l2_reg_loss = 0.3212, accuracy = 99.14, train_time = 139sec
[i] step = 14700, loss = 0.6002, labeled_loss = 0.0468, unlabeled_loss = 0.2324, l2_reg_loss = 0.3210, accuracy = 99.58, train_time = 143sec
[i] step = 14800, loss = 0.5882, labeled_loss = 0.0426, unlabeled_loss = 0.2271, l2_reg_loss = 0.3185, accuracy = 99.16, train_time = 147sec
[i] step = 14900, loss = 0.6114, labeled_loss = 0.0552, unlabeled_loss = 0.2384, l2_reg_loss = 0.3179, accuracy = 98.27, train_time = 146sec
[i] step = 15000, loss = 0.5773, labeled_loss = 0.0350, unlabeled_loss = 0.2266, l2_reg_loss = 0.3157, accuracy = 99.36, train_time = 138sec
[i] step = 15100, loss = 0.5854, labeled_loss = 0.0392, unlabeled_loss = 0.2329, l2_reg_loss = 0.3133, accuracy = 98.73, train_time = 146sec
[i] step = 15200, loss = 0.5650, labeled_loss = 0.0279, unlabeled_loss = 0.2263, l2_reg_loss = 0.3107, accuracy = 97.89, train_time = 143sec
[i] step = 15300, loss = 0.6103, labeled_loss = 0.0656, unlabeled_loss = 0.2358, l2_reg_loss = 0.3089, accuracy = 94.50, train_time = 146sec
[i] step = 15400, loss = 0.6300, labeled_loss = 0.0817, unlabeled_loss = 0.2370, l2_reg_loss = 0.3113, accuracy = 98.06, train_time = 140sec
[i] step = 15500, loss = 0.6198, labeled_loss = 0.0769, unlabeled_loss = 0.2296, l2_reg_loss = 0.3133, accuracy = 98.30, train_time = 145sec
[i] step = 15600, loss = 0.6257, labeled_loss = 0.0794, unlabeled_loss = 0.2314, l2_reg_loss = 0.3149, accuracy = 97.06, train_time = 138sec
[i] step = 15700, loss = 0.5899, labeled_loss = 0.0462, unlabeled_loss = 0.2285, l2_reg_loss = 0.3152, accuracy = 96.86, train_time = 135sec
[i] step = 15800, loss = 0.5846, labeled_loss = 0.0400, unlabeled_loss = 0.2317, l2_reg_loss = 0.3128, accuracy = 99.02, train_time = 127sec
